,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DONNEES D’EXPLOITATION  SOLAIRE DIASS  JANVIER 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,W.PORTAIL,,,,,,,,,,,RUBRIQUES,,UNITES,Valeurs,,,,,,,
,Heures,Meteo - Irradiance (W/m2),Puissances  Horaires (kW),ENERGIES Horaires (KWH),,Commentaires,,,,,,,,,,,,Nombre d'onduleur en fonctionnement,,,32,,,,,,,à
,7:00,"0,00","0,00","0,00",,NB1     Tracteur de nettoyage en panne et le depannage est en cours,,,,a,,,,,,,,Nombre d'onduleur Hors service,,,0,,,,,,,
,8:00,"12,18","19,49","64,00",,,,,,,,,,,,,,Nombre  de  Démarrage,,,1,,,,,,,
,9:00,"200,72","2530,31","2549,00",,,,,,,,,,,,,,Heure de lever du  soleil ,,H,7:30,,,,,,,
,10:00,"443,26","6694,05","6712,00",,,,,,,,,,,,,,Heure de coucher du  soleil ,,H,18:30,,,,,,,
,11:00,"685,41","10852,14","10871,00",,NB2  Enregistreur de donnèes defectueux sur PTR6,,,,,,,,,,,,Totale Heure de Fonctionnement,,H,11:00,,,,,,,
,12:00,"828,18","13457,65","13481,00",,,,,,agege ,,,,,,,,Absence réseau (heures perdues),,H,0:00,,,,,,,
,13:00,"850,60","14030,36","14037,00",,NB3 :  Intervention sur la Com de  l'Ond2 PTR8 ,,,,,,,,,,,,ENERGIE TOTALE PRODUITE  EN DEBUT DE PARCOURS  (kWh),,,131 883 825,,,,,,,
,14:00,"887,62","15361,67","15386,00",,,,,,,,,,,,,,ENERGIE TOTALE PRODUITE  EN  FIN  DE PARCOURS   (kWh),,,131 984 890,,,,,,,
,15:00,"734,64","13902,70","13922,00",,,,,,,,,,,,,,Total énergie active  Journaliere  Produite (Kwh),,,101 065,,,,,,,
,16:00,"568,59","11659,72","11680,00",,"NB4 : Perte de Com, sur PTR6 soit 04 ONDULEURS",,,,,,,,,,,,,,,,,,,,,,
,17:00,"369,88","8336,68","8364,00",,,,,,,,,,,,,,,,,,,,,,,,
,18:00,"162,40","3648,42","3669,00",,,,,,,,,,,,,,,,ببب3,,,,,,,,
,19:00,"21,73","287,86","330,00",,NB5 :  Suspension  nettoyage des panneaux solaires avec le tracteur ,,,,,,,,,,,,,,,,,,,,,,
,20:00,"0,00","0,00","0,00",,,,,,,,,,,,,,,,,,,,,,,,
,21:00,"0,00","0,00","0,00",,,,,,,,,,,,,,,,,,,,,,,,
,,CRETES  JOURNALIERES,,101 065,,,,,,,,,,,,,,,,,,,,,,,,
",",13:50,"881,53","15 622,35",,,,,,,,,,,,,,,,,,,,,,,,,
,4,POURCENTAGES  DE DISPONIBILITES  ET PERFORMANCES -RATIO  JOURNALIERES  PAR  PTR  ET  ONDULEUR,,,,,,PR (%) Pourcentage Ratio par Onduleurs , ,,,,,,,,,,,,,,,,,,,
,,, DESIGNATION Ensemble Onduleurs CPV-DIASS,,Pourcentage de Disponibilite (%) Moyenne par PTR,POURCENTAGES  DE DISPONIBILITES  ET PERFORMANCES -RATIO  JOURNALIERES  PAR  PTR  ET  ONDULEURS ,,PR (%) Pourcentage Ratio par Onduleurs ,,,,,,,,,,,,,,,,,,,,
,,,,,,,"100,00",PR/ONDULEURS,,,,,,,,,,,,,,,,,,,,
,,PTR 1,ONDULEUR PTR1.1,,"97,87","100,00",KD,"75,87",,,,,,,,,,,,,,,,,,,,
,,,ONDULEUR PTR1.2,,"97,87","100,00",,"75,86",,,,,,,,,,,,,,,,,,,,
,,,ONDULEUR PTR1.3,,"97,87","100,00",,"76,14",,,,,,,,,,,,,,,,,,,,
,,,ONDULEUR PTR1.4,,"98,94","100,00",,"72,66",,,,,,,,,,,,,,,,,,,,
,,,,,,,"100,00",,,,,,,,,,,,,,,,,,,,,
,,PTR 2,ONDULEUR PTR2.1,,"97,87","100,00",KD,"76,57",,,,,,,,,,,,,,,,,,,,
,,,ONDULEUR PTR2.2,,"97,87","100,00",,"77,31",,,,,,,,,,,,,,,,,,,,
,,,ONDULEUR PTR2.3,,"97,87","100,00",,"76,95",,,,,,,,,,,,,,,,,,,,
,,,ONDULEUR PTR2.4,,"98,94","100,00",,"77,54",,,,,,,,,,,,,,,,,,,,
,,,,,,,"100,00",,,,,,,,,,,,,,,,,,,,,
,,PTR 3,ONDULEUR PTR3.1,,"98,80","100,00",KD,"78,21",,,,,,,,,,,,,,,,,,,,
,,,ONDULEUR PTR3.2,,"91,57","100,00",,"79,34",,Mois,PR Totale des Compteurs (%,Ensoleillement,%PR de Reference mensuel,,,,,,,,,,,,,,,
,,,ONDULEUR PTR3.3,,"98,80","100,00",,"77,94",,janv.-24,(%)PR Compteurs ,Ensoleillement,%PR  mensuel,,,,,,,,,,,,,,,
,,,ONDULEUR PTR3.4,,"100,00","100,00",,"78,51",,1-janv.,"75,91","5,68","78,50",,,,,,,,,,,,,,,
,,,,,,,"100,00",,,2-janv.,"81,73","4,18","78,50",,,,,,,,,,,,,,,
,,PTR4,ONDULEUR PTR4.1,,"98,86","100,00",KD,"77,02",,3-janv.,"77,42","6,26","78,50",,,,,,,,,,,,,,,
,,,ONDULEUR PTR4.2,,"98,86","100,00",,"77,70",,4-janv.,"77,29","6,19","78,50",,,,,,,,,,,,,,,
,,,ONDULEUR PTR4.3,,"98,86","100,00",,"76,28",,5-janv.,"77,02","5,67","78,50",,,,,,,,,,,,,,,
,,,ONDULEUR PTR4.4,,"97,75","100,00",,"77,96",,6-janv.,"77,29","6,61","78,50",,,,,,,,,,,,,,,
,,,,,,,"100,00",,,7-janv.,"76,83","6,27","78,50",,,,,,,,,,,,,,,
,,PTR 5,ONDULEUR PTR5.1,,"98,86","100,00",KD,"78,25",,8-janv.,"77,29","5,41","78,50",,,,,,,,,,,,,,,
,,,ONDULEUR PTR5.2,,"98,86","100,00",,"78,95",,9-janv.,"75,68","6,46","78,50",,,,,,,,,,,,,,,
,,,ONDULEUR PTR5.3,,"98,86","100,00",,"78,49",,10-janv.,"77,29","5,76","78,50",,,,,,,,,,,,,,,
,,,ONDULEUR PTR5.4,,"98,86","100,00",,"78,72",,11-janv.,"80,04","6,39","78,50",,,,,,,,,,,,,,,
,,,,,,,"100,00",,,12-janv.,"77,29","4,71","78,50",,,,,,,,,,,,,,,
,,PTR 6,ONDULEUR PTR6.1,,"97,87","100,00",KD,Probleme de COM due a un defaut d'enregist,,13-janv.,"77,26","4,95","78,50",,,,,,,,,,,,,,,
,,,ONDULEUR PTR6.2,,"97,87","100,00",,Communication ,,14-janv.,"77,29","5,89","78,50",,,,,,,,,,,,,,,
,,,ONDULEUR PTR6.3,,"97,87","100,00",,suite au defaut,,15-janv.,"73,98","7,23","78,50",,,,,,,,,,,,,,,
,,,ONDULEUR PTR6.4,,"98,94","100,00",,  l'enregistreur,,16-janv.,"77,29","6,54","78,50",,,,,,,,,,,,,,,
,,,,,,,"100,00",,,17-janv.,"71,88","5,73","78,50",,,,,,,,,,,,,,,
,,PTR 7,ONDULEUR PTR7.1,,"96,59","100,00",KD,"79,88",,18-janv.,"77,29","5,77","78,50",,,,,,,,,,,,,,,
,,,ONDULEUR PTR7.2,,"97,70","100,00",,"82,27",,19-janv.,,,,,,,,,,,,,,,,,,
,,,ONDULEUR PTR7.3,,"96,59","100,00",,"80,67",,20-janv.,,,,,2,,,,,,,,,,,,,
,,,ONDULEUR PTR7.4,,"96,59","100,00",,"80,80",,21-janv.,,,,,,,,,,,,,,,,,,
,,,,,,,"100,00",,,22-janv.,,,,,,,,,,,,,,,,,,
,,PTR 8,ONDULEUR PTR8.1,,"96,55","100,00",KD,"79,98",,23-janv.,,,,,,,,,,,,,,,,,,
,,,ONDULEUR PTR8.2,,"96,55","100,00",,"79,80",,24-janv.,,,,,,,,,,,,,,,,,,
,,,ONDULEUR PTR8.3,,"98,85","100,00",,"77,82",,25-janv.,,,,,,,,,,,,,,,,,,
,,,ONDULEUR PTR8.4,,"98,85","100,00",,"78,06",,26-janv.,,,,,,,,,,,,,,,,,,
,,,,,,,  MOYENNE KD,,,27-janv.,,,,,,,,,,,,,,,,,,
,,,,,,,"100,00","78,06",,28-janv.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,29-janv.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,30-janv.,,,,,,,,,,,,,,,,,,
,,,,,,WEB PORTAIL JANVIER 2024,,,,,,,,,,,,,,,,,,,,,,
,janv.-24,Sénégal Diass - Meteo - Irradiance des Plantes (W/m2),ENSOLEILLEMENT JOURNALIER Kwh/m2,ENERGIE   2023(kWH),,QUANTITE  CO2 JOURNALIERE EVITEE   EN  TONNES,    QUANTITE EQUIVALENTE  JOURNALIERE  EN  EAU  (TONNES ),NOMBRE  DE FOYERS ALIMENTES  EN ENERGIE,,,,,,,,,,,,,,,,,,,,
,1-janv.,"235,12","5,68",99 662,,"65,61","138,185",6 959,,,,,,,,,,,,,,,,,,,,
,2-janv.,"172,53","4,18",78 961,,"51,96","109,424",5 511,,,,,,,,,,,,,,,,,,,,
,3-janv.,"259,25","6,26",112 015,,"65,49","137,922",6 946,,,,,,,,,,,,,,,,,,,,
,4-janv.,"256,43","6,19",110 577,,"65,69","138,35",6 967,,,,,,,,,,,,,,,,,,,,
,5-janv.,"234,73","5,67",100 944,,"73,76","155,339",7 823,,,,,,,,,,,,,,,,,,,,
,6-janv.,"273,77","6,61",116 415,,"72,81","153,340",7 722,,,,,,,,,,,,,,,,,,,,
,7-janv.,"259,70","6,27",111 347,,"66,45","139,945",7 048,,,,,,,,,,,,,,,,,,,,
,8-janv.,"223,68","5,41",97 631,,"59,02","124,303",6 260,,,,,,,,,,,,,,,,,,,,
,9-janv.,"268,00","6,46",112 996,,"71,48","150,531",7 581,,,,,,,,,,,,,,,,,,,,
,10-janv.,"238,88","5,76",110 509,,"63,31","141,759",7 139,,,,,,,,,,,,,,,,,,,,
,11-janv.,"265,20","6,39",118 214,,"72,63","152,955",7 703,,,,,,,,,,,,,,,,,,,,
,12-janv.,"195,08","4,71",86 939,,"57,22","120,504",6 069,,,,,,,,,,,,,,,,,,,,
,13-janv.,"205,34","4,95",88 395,,"55,975","117,887",5 937,,,,,,,,,,,,,,,,,,,,
,14-janv.,"243,99","5,89",98 721,,"62,76","132,168",6 656,,,,,,,,,,,,,,,,,,,,
,15-janv.,"299,34","7,23",123 634,,"77,65","163,540",8 235,,,,,,,,,,,,,,,,,,,,
,16-janv.,"270,76","6,54",112 460,,"71,63","150,852",7 597,,,,,,,,,,,,,,,,,,,,
,17-janv.,"237,44","5,73",95 195,,"61,13","128,743",6 483,,,,,,,,,,,,,,,,,,,,
77,18-janv.,"238,82","5,77",101 065,,"65,52","137,981",6 949,,,,,,,,,,,,,,,,,,,,
,19-janv.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20-janv.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21-janv.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22-janv.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23-janv.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24-janv.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-janv.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26-janv.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27-janv.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28-janv.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29-janv.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30-janv.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31-janv.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moyenne Mensuel,"243,23","5,87",1 875 680,,"1 180,06","2 493,72","125 583,08",,,,,,,,,,,,,,,,,,,,
,Tableau de reference  JANVIER   2023,,,Tableau de Parametres   JANVIER 2024,,,,,,,,,,,,,,,,,,,,,,,,
NOV 23/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mois  (2023-2024),Ensoleillement  (KwH/m2)  JANVIER 23, (%) PR Journalier Diass  JANVIER 23, Énergie Journaliere Compteur  JANVIER 23 (kWh),Ensoleillement  (KwH/m2) JANVIER 24, PR Mensuel Diass(%),(%) PR Journalier Diass  JANVIER 24, Énergie  Journaliere Compteur (kWh)  JANVIER 24,,,,,,,,,,,,,,,2,,,,,,
,déc.-23,,,déc.-24,,,,,,,,,,,,,,,,,,,,,,,,
1-janv.,"6,24","66,16",95 155,"5,68",,"76,22",99 662,,,,,,,,,,,,,,,,,,,,,
2-janv.,"5,12","64,82",76 442,"4,18",,"82,25",78 961,,,,,,,,,,,,,,,,,,,,,
3-janv.,"5,40","64,56",80 346,"6,26",,"77,71",112 015,,,,,,,,,,,,,,,,,,,,,
4-janv.,"5,12","64,58",76 161,"6,19",,"77,55",110 577,,,,,,,,,,,,,,,,,,,,,
5-janv.,"4,70","56,91",61 636,"5,67",,"77,33",100 944,,,,,,,,,,,,,,,,,,,,,
6-janv.,"4,73","62,11",67 629,"6,61",,"76,66",116 415,,,,,,,,,,,,,,,,,,,,,
7-janv.,"1,76","65,95",26 514,"6,27",,"77,29",111 347,,,,,,,,,,,,,,,,,,,,,
8-janv.,"1,56","65,70",23 556,"5,41",,"78,69",97 631,,,,,,,,,,,,,,,,,,,,,
9-janv.,"1,01","71,80",16 512,"6,46",,"75,83",112 996,,,,,,,,,,,,,,,,,,,,,
10-janv.,"3,28","69,03",51 999,"5,76",,"83,18",110 509,,,,,,,,,,,,,,,,,,,,,
11-janv.,"6,73","68,11",105 480,"6,39",,"80,18",118 214,,,,,,,,,,,,,,,,,,,,,
12-janv.,"6,55","64,98",97 969,"4,71",,"80,11",86 939,,,,,,,,,,,,,,,,,,,,,
13-janv.,"6,78","66,52",77 689,"4,95",,"77,38",88 395,,,,,,,,,,,,,,,,,,,,,
14-janv.,"6,62","66,62",71 522,"5,89",,"72,74",98 721,,,,,,,,,,,,,,,,,,,,,
15-janv.,"6,85","66,61",74 013,"7,23",,"74,29",123 634,,,,,,,,,,,,,,,,,,,,,
16-janv.,"4,85","67,35",52 763,"6,54",,"74,70",112 460,,,,,,,,,,,,,,,,,,,,,
17-janv.,"5,93","66,39",63 919,"5,73",,"72,06",95 195,,,,,,,,,,,,,,,,,,,,,
18-janv.,"5,77","65,06",71 177,"5,77",,"76,09",101 065,,,,,,,,,,,,,,,,,,,,,
19-janv.,"7,03","62,73",85 497,,,,,,,,,,,,,,,,,,,,,,,,,
20-janv.,"6,95","63,04",83 903,,,,,,,,,,,,,,,,,,,,,,,,,
21-janv.,"7,07","70,23",80 436,,,,,,,,,,,,,,,,,,,,,,,,,
22-janv.,"7,13","68,78",79 374,,,,,,,,,,,,,,,,,,,,,,,,,
23-janv.,"7,04","68,16",77 800,,,,,,,,,,,,,,,,,,,,,,,,,
24-janv.,"5,87","66,13",74 261,,,,,,,,,,,,,,,,,,,,,,,,,
25-janv.,"4,97","67,91",66 173,,,,,,,,,,,,,,,,,,,,,,,,,
26-janv.,"5,78","66,29",75 192,,,,,,,,,,,,,,,,,,,,,,,,,
27-janv.,"6,65","64,66",84 158,,,,,,,,,,,,,,,,,,,,,,,,,
28-janv.,"7,26","65,67",93 430,,,,,,,,,,,,,,,,,,,,,,,,,
29-janv.,"7,49","66,14",96 838,,,,,,,,,,,,,,,,,,,,,,,,,
30-janv.,"7,25","66,01",93 594,,,,,,,,,,,,,,,,,,,,,,,,,
31-janv.,"7,47","62,28",90 172,,,,,,,,,,,,,,,,,,,,,,,,,
,"5,65","65,97",2 181 138,"7,23",,"77,24",1 875 680,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"RECAPITULATIF MENSUEL DES ENERGIES, du PR ET DE L'IRRADIANCE",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mois /2023,Energie en KWh,PR en %,Irradiance en W/m2,,,,,,,,,,,,,,,,,,,,,,,,
,JANVIER ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FEVRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MARS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AVRIL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAI,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JUIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JUILLET,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SEPTEMBRE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OCTOBRE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOVEMBRE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DECEMBRE,,,,,,,,,,,,,,,,,,,,,,,,,,,